
4412407808 bytes (4.4 GB, 4.1 GiB) copied, 1 s, 4.4 GB/s
8808038400 bytes (8.8 GB, 8.2 GiB) copied, 2 s, 4.4 GB/s
13170114560 bytes (13 GB, 12 GiB) copied, 3 s, 4.4 GB/s 
17565745152 bytes (18 GB, 16 GiB) copied, 4 s, 4.4 GB/s
21978152960 bytes (22 GB, 20 GiB) copied, 5 s, 4.4 GB/s
26340229120 bytes (26 GB, 25 GiB) copied, 6 s, 4.4 GB/s
30719082496 bytes (31 GB, 29 GiB) copied, 7 s, 4.4 GB/s
35131490304 bytes (35 GB, 33 GiB) copied, 8 s, 4.4 GB/s
39527120896 bytes (40 GB, 37 GiB) copied, 9 s, 4.4 GB/s
43872419840 bytes (44 GB, 41 GiB) copied, 10 s, 4.4 GB/s
48284827648 bytes (48 GB, 45 GiB) copied, 11 s, 4.4 GB/s
52680458240 bytes (53 GB, 49 GiB) copied, 12 s, 4.4 GB/s
57059311616 bytes (57 GB, 53 GiB) copied, 13 s, 4.4 GB/s
61438164992 bytes (61 GB, 57 GiB) copied, 14 s, 4.4 GB/s
65833795584 bytes (66 GB, 61 GiB) copied, 15 s, 4.4 GB/s
70229426176 bytes (70 GB, 65 GiB) copied, 16 s, 4.4 GB/s
74591502336 bytes (75 GB, 69 GiB) copied, 17 s, 4.4 GB/s
78987132928 bytes (79 GB, 74 GiB) copied, 18 s, 4.4 GB/s
83382763520 bytes (83 GB, 78 GiB) copied, 19 s, 4.4 GB/s
87761616896 bytes (88 GB, 82 GiB) copied, 20 s, 4.4 GB/s
92140470272 bytes (92 GB, 86 GiB) copied, 21 s, 4.4 GB/s
96536100864 bytes (97 GB, 90 GiB) copied, 22 s, 4.4 GB/s
100931731456 bytes (101 GB, 94 GiB) copied, 23 s, 4.4 GB/s
105293807616 bytes (105 GB, 98 GiB) copied, 24 s, 4.4 GB/s
109689438208 bytes (110 GB, 102 GiB) copied, 25 s, 4.4 GB/s
114085068800 bytes (114 GB, 106 GiB) copied, 26 s, 4.4 GB/s
118447144960 bytes (118 GB, 110 GiB) copied, 27 s, 4.4 GB/s
122842775552 bytes (123 GB, 114 GiB) copied, 28 s, 4.4 GB/s
127238406144 bytes (127 GB, 118 GiB) copied, 29 s, 4.4 GB/s
131617259520 bytes (132 GB, 123 GiB) copied, 30 s, 4.4 GB/s
135996112896 bytes (136 GB, 127 GiB) copied, 31 s, 4.4 GB/s
140391743488 bytes (140 GB, 131 GiB) copied, 32 s, 4.4 GB/s
144787374080 bytes (145 GB, 135 GiB) copied, 33 s, 4.4 GB/s
149149450240 bytes (149 GB, 139 GiB) copied, 34 s, 4.4 GB/s
153545080832 bytes (154 GB, 143 GiB) copied, 35 s, 4.4 GB/s
157940711424 bytes (158 GB, 147 GiB) copied, 36 s, 4.4 GB/s
162319564800 bytes (162 GB, 151 GiB) copied, 37 s, 4.4 GB/s
166698418176 bytes (167 GB, 155 GiB) copied, 38 s, 4.4 GB/s
171094048768 bytes (171 GB, 159 GiB) copied, 39 s, 4.4 GB/s
175489679360 bytes (175 GB, 163 GiB) copied, 40 s, 4.4 GB/s
179851755520 bytes (180 GB, 168 GiB) copied, 41 s, 4.4 GB/s
184247386112 bytes (184 GB, 172 GiB) copied, 42 s, 4.4 GB/s
188659793920 bytes (189 GB, 176 GiB) copied, 43 s, 4.4 GB/s
193021870080 bytes (193 GB, 180 GiB) copied, 44 s, 4.4 GB/s
197417500672 bytes (197 GB, 184 GiB) copied, 45 s, 4.4 GB/s
201813131264 bytes (202 GB, 188 GiB) copied, 46 s, 4.4 GB/s
206191984640 bytes (206 GB, 192 GiB) copied, 47 s, 4.4 GB/s
210554060800 bytes (211 GB, 196 GiB) copied, 48 s, 4.4 GB/s
214966468608 bytes (215 GB, 200 GiB) copied, 49 s, 4.4 GB/s
219362099200 bytes (219 GB, 204 GiB) copied, 50 s, 4.4 GB/s
223724175360 bytes (224 GB, 208 GiB) copied, 51 s, 4.4 GB/s
228119805952 bytes (228 GB, 212 GiB) copied, 52 s, 4.4 GB/s
232515436544 bytes (233 GB, 217 GiB) copied, 53 s, 4.4 GB/s
236760072192 bytes (237 GB, 220 GiB) copied, 54 s, 4.4 GB/s
241055039488 bytes (241 GB, 224 GiB) copied, 55 s, 4.4 GB/s
245467447296 bytes (245 GB, 229 GiB) copied, 56 s, 4.4 GB/s
249829523456 bytes (250 GB, 233 GiB) copied, 57 s, 4.4 GB/s
254208376832 bytes (254 GB, 237 GiB) copied, 58 s, 4.4 GB/s
258620784640 bytes (259 GB, 241 GiB) copied, 59 s, 4.4 GB/s
262999638016 bytes (263 GB, 245 GiB) copied, 60 s, 4.4 GB/s
267361714176 bytes (267 GB, 249 GiB) copied, 61 s, 4.4 GB/s
271774121984 bytes (272 GB, 253 GiB) copied, 62 s, 4.4 GB/s
276152975360 bytes (276 GB, 257 GiB) copied, 63 s, 4.4 GB/s
280531828736 bytes (281 GB, 261 GiB) copied, 64 s, 4.4 GB/s
284927459328 bytes (285 GB, 265 GiB) copied, 65 s, 4.4 GB/s
