
368142450688 bytes (368 GB, 343 GiB) copied, 84 s, 4.4 GB/s
372538081280 bytes (373 GB, 347 GiB) copied, 85 s, 4.4 GB/s
376933711872 bytes (377 GB, 351 GiB) copied, 86 s, 4.4 GB/s
381312565248 bytes (381 GB, 355 GiB) copied, 87 s, 4.4 GB/s
385674641408 bytes (386 GB, 359 GiB) copied, 88 s, 4.4 GB/s
390087049216 bytes (390 GB, 363 GiB) copied, 89 s, 4.4 GB/s
394482679808 bytes (394 GB, 367 GiB) copied, 90 s, 4.4 GB/s
398844755968 bytes (399 GB, 371 GiB) copied, 91 s, 4.4 GB/s
403240386560 bytes (403 GB, 376 GiB) copied, 92 s, 4.4 GB/s
407636017152 bytes (408 GB, 380 GiB) copied, 93 s, 4.4 GB/s
411998093312 bytes (412 GB, 384 GiB) copied, 94 s, 4.4 GB/s
416393723904 bytes (416 GB, 388 GiB) copied, 95 s, 4.4 GB/s
420789354496 bytes (421 GB, 392 GiB) copied, 96 s, 4.4 GB/s
425151430656 bytes (425 GB, 396 GiB) copied, 97 s, 4.4 GB/s
429547061248 bytes (430 GB, 400 GiB) copied, 98 s, 4.4 GB/s
433959469056 bytes (434 GB, 404 GiB) copied, 99 s, 4.4 GB/s
438321545216 bytes (438 GB, 408 GiB) copied, 100 s, 4.4 GB/s
442700398592 bytes (443 GB, 412 GiB) copied, 101 s, 4.4 GB/s
447112806400 bytes (447 GB, 416 GiB) copied, 102 s, 4.4 GB/s
451323887616 bytes (451 GB, 420 GiB) copied, 103 s, 4.4 GB/s
455618854912 bytes (456 GB, 424 GiB) copied, 104 s, 4.4 GB/s
459997708288 bytes (460 GB, 428 GiB) copied, 105 s, 4.4 GB/s
464393338880 bytes (464 GB, 432 GiB) copied, 106 s, 4.4 GB/s
468772192256 bytes (469 GB, 437 GiB) copied, 107 s, 4.4 GB/s
473151045632 bytes (473 GB, 441 GiB) copied, 108 s, 4.4 GB/s
477546676224 bytes (478 GB, 445 GiB) copied, 109 s, 4.4 GB/s
481942306816 bytes (482 GB, 449 GiB) copied, 110 s, 4.4 GB/s
486321160192 bytes (486 GB, 453 GiB) copied, 111 s, 4.4 GB/s
490700013568 bytes (491 GB, 457 GiB) copied, 112 s, 4.4 GB/s
495095644160 bytes (495 GB, 461 GiB) copied, 113 s, 4.4 GB/s
