# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cpu-clock:u'
# Event count (approx.): 284105492125
#
# Overhead|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 0.34%  |[.] keylane::storage::StorageEngine::Impl::CanPrepareCompactWriteUnlocked(keylane::storage::StorageEngine::Impl::WorkerStore const&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore const&, keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Entry const*, keylane::storage::RecordLocation const&, keylane::storage::TxShardWrites const*) const [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 0.34%  |[.] celer::SubmitTaskAwaiter<keylane::(anonymous namespace)::ExecuteCommandOnOwner(unsigned int, keylane::CommandRequest&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*)::{lambda()#1}>::Run(celer::SubmitTaskAwaiter<keylane::(anonymous namespace)::ExecuteCommandOnOwner(unsigned int, keylane::CommandRequest&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*)::{lambda()#1}>::Run()::_ZN5celer17SubmitTaskAwaiterIZN7keylane12_GLOBAL__N_121ExecuteCommandOnOwnerEjRNS1_14CommandRequestERNS1_12ReplyBuilderEmPNS1_17ConnectionContextEEUlvE_E3RunEv.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 0.33%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 0.32%  |[.] celer::TcpStream::WriteAll(celer::TcpStream::WriteAll(std::span<std::byte const, 18446744073709551615ul>)::_ZN5celer9TcpStream8WriteAllESt4spanIKSt4byteLm18446744073709551615EE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 0.31%  |[.] celer::detail::CoroutineFramePool::Release(void*) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 0.31%  |[.] keylane::CommandReply::CommandReply(keylane::CommandReply&&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 0.31%  |[.] keylane::CommandReply::~CommandReply() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 0.31%  |[.] keylane::storage::RegisteredBufferPool::AcquireReadAwaiter::await_resume()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 0.30%  |[.] keylane::(anonymous namespace)::ExecuteCommandOnOwner(keylane::(anonymous namespace)::ExecuteCommandOnOwner(unsigned int, keylane::CommandRequest&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*)::_ZN7keylane12_GLOBAL__N_121ExecuteCommandOnOwnerEjRNS_14CommandRequestERNS_12ReplyBuilderEmPNS_17ConnectionContextE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            


#
# (Cannot load tips.txt file, please install perf!)
#
