round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
1,candidate,A,100000,UPDATE,99754.6036749596,49857.031702013046,238.3084169406447,220,316,478,2447,4049,13639,2498984,0,651a270cbf5e3e22a01dcaefa6c87d5611b5a4cf777161cd105d6e11d54b8c62,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,100000,Intended-UPDATE,99754.6036749596,49857.031702013046,327.1092752094451,279,378,751,4443,62815,96831,2498984,0,651a270cbf5e3e22a01dcaefa6c87d5611b5a4cf777161cd105d6e11d54b8c62,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,READ,445791.72610556346,222906.11626248216,596.8567657887737,502,915,3433,6043,13855,44255,2500115,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,Intended-READ,445791.72610556346,222906.11626248216,596.894025674819,502,916,3433,6043,13855,44255,2500115,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,UPDATE,445791.72610556346,222885.6098430813,441.84898425327566,376,675,2369,5135,13623,52863,2499885,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,Intended-UPDATE,445791.72610556346,222885.6098430813,441.88703240349054,376,675,2369,5135,13623,52863,2499885,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
2,baseline,C,100000,READ,99798.40721742081,99798.40721742081,312.1537472,298,407,473,720,1683,37631,5000000,0,b6a9025e2e6b42a31caafc03ab85e21277ca8bdec949bbc07ec10ec0e2ec2952,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,100000,Intended-READ,99798.40721742081,99798.40721742081,409.1069474,358,468,542,13503,63583,90623,5000000,0,b6a9025e2e6b42a31caafc03ab85e21277ca8bdec949bbc07ec10ec0e2ec2952,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,READ,488663.01798279904,488663.01798279904,472.294962,447,620,998,3325,9287,66303,5000000,0,246ee5cb1003a22df1720e99b0617533588580c3ea6e8ea9804061320b669f00,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,Intended-READ,488663.01798279904,488663.01798279904,472.331392,447,620,998,3325,9287,66303,5000000,0,246ee5cb1003a22df1720e99b0617533588580c3ea6e8ea9804061320b669f00,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,READ,99794.42348761551,49872.243179051155,320.350364522407,298,382,629,3815,7347,21679,2498749,0,b78891b799275e8baa8c9a48b32df0c2597c35331a0e443ed3bb14249b6ae2b0,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,Intended-READ,99794.42348761551,49872.243179051155,406.0788470550664,356,443,1034,7283,46527,84799,2498749,0,b78891b799275e8baa8c9a48b32df0c2597c35331a0e443ed3bb14249b6ae2b0,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,UPDATE,99794.42348761551,49922.180308564355,236.68425519869857,220,302,423,2523,4407,26511,2501251,0,b78891b799275e8baa8c9a48b32df0c2597c35331a0e443ed3bb14249b6ae2b0,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,Intended-UPDATE,99794.42348761551,49922.180308564355,323.13330649343067,279,363,754,6459,46303,84479,2501251,0,b78891b799275e8baa8c9a48b32df0c2597c35331a0e443ed3bb14249b6ae2b0,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,READ,444879.4376723908,222500.57834326898,596.2104500208743,501,910,3437,6031,15255,91007,2500684,0,6acf45be7cf7fb69b312ec3ec254a8e7c1061d59155ccf8cd321913957399403,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,Intended-READ,444879.4376723908,222500.57834326898,596.2473939130253,501,910,3437,6031,15255,91007,2500684,0,6acf45be7cf7fb69b312ec3ec254a8e7c1061d59155ccf8cd321913957399403,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,UPDATE,444879.4376723908,222378.8593291218,441.07099502423864,377,673,2295,5031,8599,88063,2499316,0,6acf45be7cf7fb69b312ec3ec254a8e7c1061d59155ccf8cd321913957399403,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,Intended-UPDATE,444879.4376723908,222378.8593291218,441.10779549284683,377,673,2295,5031,8599,88063,2499316,0,6acf45be7cf7fb69b312ec3ec254a8e7c1061d59155ccf8cd321913957399403,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,candidate,C,100000,READ,99776.5006385696,99776.5006385696,312.600242,299,405,465,657,1938,36927,5000000,0,fee4bf14062599e7ab17f8fcfdb1ef4794f19f5e465c7c057c4f871d5b91592e,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
2,candidate,C,100000,Intended-READ,99776.5006385696,99776.5006385696,394.6658042,358,466,535,3141,47455,75391,5000000,0,fee4bf14062599e7ab17f8fcfdb1ef4794f19f5e465c7c057c4f871d5b91592e,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
2,candidate,C,0,READ,492368.29148202855,492368.29148202855,472.9605166,448,632,988,3199,8175,44479,5000000,0,b663888ddd2a8cca5589c464a7966b06dd106bf5e3a4cac242f5ff2d2ebfffae,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
2,candidate,C,0,Intended-READ,492368.29148202855,492368.29148202855,472.9973042,448,632,988,3199,8175,44479,5000000,0,b663888ddd2a8cca5589c464a7966b06dd106bf5e3a4cac242f5ff2d2ebfffae,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
2,candidate,A,100000,READ,99812.35277677965,49920.84880424802,319.1939849684193,295,384,662,3895,7591,28031,2500735,0,6f13fa8148ea83a79ada139f05e6dd2ce6b9a93f5e94eedba849f4e87d1aeb35,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
