round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
1,candidate,A,100000,UPDATE,99812.35277677965,49913.56250249531,321.7857977019401,303,378,514,3531,6995,24319,2500370,0,7ec47ea227da05bf7f628c0432059d6c1037bd0546b538b367b77ad66810deb0,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,A,100000,Intended-UPDATE,99812.35277677965,49913.56250249531,419.5162891892,362,440,995,11335,60863,102783,2500370,0,7ec47ea227da05bf7f628c0432059d6c1037bd0546b538b367b77ad66810deb0,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,A,0,READ,406867.9306697046,203293.9213931158,578.3442786013892,504,815,3171,6219,12151,38367,2498279,0,737dd0317b91cb4398c09a123d7204fd3e144b022822811ae8553c372c9ce88b,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,A,0,Intended-READ,406867.9306697046,203293.9213931158,578.3786858873649,504,815,3171,6219,12151,38367,2498279,0,737dd0317b91cb4398c09a123d7204fd3e144b022822811ae8553c372c9ce88b,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,A,0,UPDATE,406867.9306697046,203574.00927658883,593.3011522867658,515,849,3203,6191,11711,36959,2501721,0,737dd0317b91cb4398c09a123d7204fd3e144b022822811ae8553c372c9ce88b,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,A,0,Intended-UPDATE,406867.9306697046,203574.00927658883,593.3367605740209,515,849,3203,6191,11711,36959,2501721,0,737dd0317b91cb4398c09a123d7204fd3e144b022822811ae8553c372c9ce88b,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
2,baseline,C,100000,READ,99820.32341784787,99820.32341784787,313.4403622,298,415,486,700,1599,32111,5000000,0,bc9ca95b7a2d1981447420730c826b2e750559764581729a96146f58e90b759e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,100000,Intended-READ,99820.32341784787,99820.32341784787,393.0515144,357,476,555,2029,47743,71167,5000000,0,bc9ca95b7a2d1981447420730c826b2e750559764581729a96146f58e90b759e,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,READ,493242.5766992207,493242.5766992207,465.7589588,446,613,792,3289,6467,35647,5000000,0,da35f00fe7e4036f02c2fec077997500e9c4011bdd9cf1677d7064fbe4b6b0ac,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,Intended-READ,493242.5766992207,493242.5766992207,465.7955708,446,613,792,3289,6467,35647,5000000,0,da35f00fe7e4036f02c2fec077997500e9c4011bdd9cf1677d7064fbe4b6b0ac,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,READ,99850.22466300549,49925.13230154768,313.46280141487944,294,379,525,3405,6375,31055,2500001,0,32b5dd5c198c6a37225b939823437c35e86a311378535ffae09cfbe8e2cf334f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
