# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu-clock:u'
# Event count (approx.): 272898987170
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 8.04%  | 2.57%  |[.] _ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedEPZNS2_17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionEE514_ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionE.Frame.actor.lto_priv.0                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 7.47%  | 7.37%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Find(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 7.20%  | 3.09%  |[.] keylane::RespCommandParser::Parse(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 7.19%  | 0.81%  |[.] keylane::storage::StorageEngine::Impl::RelocateIfCurrent(keylane::storage::StorageEngine::Impl::RelocateIfCurrent(unsigned int, std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordHeader const&, keylane::storage::RecordLocation const&, bool)::_ZN7keylane7storage13StorageEngine4Impl17RelocateIfCurrentEjSt17basic_string_viewIcSt11char_traitsIcEES6_RKNS0_12RecordHeaderERKNS0_14RecordLocationEb.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 6.46%  | 1.37%  |[.] keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::CommandRequest const&, keylane::storage::Digest const*, keylane::storage::TxShardWrites*, keylane::ReplyBuilder&)::_ZN7keylane12_GLOBAL__N_122ExecuteHashCommandImplERKNS_14CommandRequestEPKNS_7storage6DigestEPNS4_13TxShardWritesERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 5.15%  | 5.02%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindCandidates(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 4.76%  | 0.92%  |[.] keylane::storage::(anonymous namespace)::PrepareReplacementHash(keylane::storage::HashOperation const&, keylane::storage::HashValue&, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 4.68%  | 0.58%  |[.] absl::lts_20250512::crc_internal::ExtendCrc32cInternal(absl::lts_20250512::crc32c_t, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 4.40%  | 1.55%  |[.] keylane::(anonymous namespace)::RedisService::Serve(keylane::(anonymous namespace)::RedisService::Serve(celer::TcpStream&, keylane::ConnectionContext&)::_ZN7keylane12_GLOBAL__N_112RedisService5ServeERN5celer9TcpStreamERNS_17ConnectionContextE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 4.31%  | 0.08%  |[.] keylane::storage::Crc32c(std::span<std::byte const, 18446744073709551615ul>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
