# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cpu-clock:u'
# Event count (approx.): 374595955850
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 9.10%  | 8.83%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindCandidates(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 7.34%  | 0.71%  |[.] absl::lts_20250512::crc_internal::ExtendCrc32cInternal(absl::lts_20250512::crc32c_t, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 7.11%  | 0.66%  |[.] keylane::storage::StorageEngine::Impl::SalvageBlockRecords(keylane::storage::StorageEngine::Impl::SalvageBlockRecords(keylane::storage::StorageEngine::Impl::WorkerStore&, unsigned long, keylane::storage::BlockState&, unsigned int, unsigned long, std::shared_ptr<absl::lts_20250512::flat_hash_set<unsigned long, absl::lts_20250512::hash_internal::Hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned long> > const>)::_ZN7keylane7storage13StorageEngine4Impl19SalvageBlockRecordsERNS2_11WorkerStoreEmRNS0_10BlockStateEjmSt10shared_ptrIKN4absl12lts_2025051213flat_hash_setImNS9_13hash_internal4HashImEESt8equal_toImESaImEEEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |-      -            
 6.77%  | 0.06%  |[.] keylane::storage::Crc32c(std::span<std::byte const, 18446744073709551615ul>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 6.63%  | 6.63%  |[.] absl::lts_20250512::crc_internal::(anonymous namespace)::CRC32AcceleratedX86ARMCombinedMultipleStreams<3ul, 0ul, (absl::lts_20250512::crc_internal::(anonymous namespace)::CutoffStrategy)0>::Extend(unsigned int*, void const*, unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 6.43%  | 0.66%  |[.] keylane::(anonymous namespace)::ReadCommandBatch(keylane::(anonymous namespace)::ReadCommandBatch(celer::TcpStream&, keylane::(anonymous namespace)::RequestInputBuffer*, keylane::RespCommandParser*, keylane::(anonymous namespace)::CommandBatch*, keylane::ClientBufferReservation*, std::atomic<unsigned long> const*, unsigned long*, std::optional<absl::lts_20250512::Status>*)::_ZN7keylane12_GLOBAL__N_116ReadCommandBatchERN5celer9TcpStreamEPNS0_18RequestInputBufferEPNS_17RespCommandParserEPNS0_12CommandBatchEPNS_23ClientBufferReservationEPKSt6atomicImEPmPSt8optionalIN4absl12lts_202505126StatusEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 6.00%  | 5.88%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Find(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 5.97%  | 0.92%  |[.] keylane::storage::StorageEngine::Impl::LoadValueLocal(keylane::storage::StorageEngine::Impl::LoadValueLocal(keylane::storage::StorageEngine::Impl::WorkerStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordLocation, unsigned long, keylane::ReadLatencyTrace*, std::optional<unsigned long>)::_ZN7keylane7storage13StorageEngine4Impl14LoadValueLocalERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEENS0_14RecordLocationEmPNS_16ReadLatencyTraceESt8optionalImE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 5.44%  | 2.40%  |[.] keylane::RespCommandParser::Parse(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 4.42%  | 1.22%  |[.] keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::CommandRequest const&, keylane::storage::Digest const*, keylane::storage::TxShardWrites*, keylane::ReplyBuilder&)::_ZN7keylane12_GLOBAL__N_122ExecuteHashCommandImplERKNS_14CommandRequestEPKNS_7storage6DigestEPNS4_13TxShardWritesERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
