round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
1,candidate,A,100000,UPDATE,99786.4569820584,49905.86145648313,236.5399432863599,218,311,477,2505,4171,20991,2500633,0,1c9017f04f08c7127ac2f4ba634c41ec4c5c542c0882caaf3f15c8aac3dab55e,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
1,candidate,A,100000,Intended-UPDATE,99786.4569820584,49905.86145648313,371.92224848668315,278,375,1024,29711,61855,88767,2500633,0,1c9017f04f08c7127ac2f4ba634c41ec4c5c542c0882caaf3f15c8aac3dab55e,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
1,candidate,A,0,READ,424520.29206996097,212106.97911360164,632.190802082783,527,1191,3249,5731,10151,56223,2498196,0,6107cc21baab2c1e9d86e98d35e41010ffd7ccea1c0b97c7c8ce803e4ed5f361,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
1,candidate,A,0,Intended-READ,424520.29206996097,212106.97911360164,632.2271707263961,527,1191,3249,5731,10151,56223,2498196,0,6107cc21baab2c1e9d86e98d35e41010ffd7ccea1c0b97c7c8ce803e4ed5f361,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
1,candidate,A,0,UPDATE,424520.29206996097,212413.31295635932,457.10569253226873,386,781,2287,4615,11575,61119,2501804,0,6107cc21baab2c1e9d86e98d35e41010ffd7ccea1c0b97c7c8ce803e4ed5f361,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
1,candidate,A,0,Intended-UPDATE,424520.29206996097,212413.31295635932,457.14200033256003,386,781,2287,4615,11575,61119,2501804,0,6107cc21baab2c1e9d86e98d35e41010ffd7ccea1c0b97c7c8ce803e4ed5f361,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,baseline,C,100000,READ,99842.24924619102,99842.24924619102,313.5392546,299,410,483,678,1379,13455,5000000,0,9dee5792ba77f6db32516f027deedd2ff911379217b7f2a62d073cb7f5a8e52d,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,100000,Intended-READ,99842.24924619102,99842.24924619102,378.525714,358,470,552,1221,24911,44607,5000000,0,9dee5792ba77f6db32516f027deedd2ff911379217b7f2a62d073cb7f5a8e52d,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,READ,496277.91563275433,496277.91563275433,468.6735612,444,625,975,3325,7635,44447,5000000,0,b0d771b4781dcf046bc9c2a1fc290880039ad9c2e7249c5f6bd5d7c41de23964,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,Intended-READ,496277.91563275433,496277.91563275433,468.7123808,444,625,975,3325,7635,44447,5000000,0,b0d771b4781dcf046bc9c2a1fc290880039ad9c2e7249c5f6bd5d7c41de23964,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,READ,99706.86182623089,49876.02448800526,334.1189137083074,297,402,1074,5811,9135,25423,2501133,0,9133d4de3640b81b07adee36c20c4410ef2027f20412890b465b965e0ca9baed,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,Intended-READ,99706.86182623089,49876.02448800526,431.27042984119595,356,469,1634,9591,57247,87487,2501133,0,9133d4de3640b81b07adee36c20c4410ef2027f20412890b465b965e0ca9baed,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,UPDATE,99706.86182623089,49830.83733822562,235.63247783895662,218,304,587,2417,4131,26111,2498867,0,9133d4de3640b81b07adee36c20c4410ef2027f20412890b465b965e0ca9baed,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,100000,Intended-UPDATE,99706.86182623089,49830.83733822562,333.0360963588698,277,369,985,8535,56959,88511,2498867,0,9133d4de3640b81b07adee36c20c4410ef2027f20412890b465b965e0ca9baed,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,READ,403779.37494952756,201895.905677138,644.4990310298443,534,1290,3193,5807,9887,87807,2500077,0,585d30f0ef12136389f614d8f04fd073db352a7964756263953b73dad6dbfbc5,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,Intended-READ,403779.37494952756,201895.905677138,644.5381226258231,534,1291,3193,5807,9887,87807,2500077,0,585d30f0ef12136389f614d8f04fd073db352a7964756263953b73dad6dbfbc5,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,UPDATE,403779.37494952756,201883.46927238957,474.66498728160826,393,881,2469,4955,9935,69311,2499923,0,585d30f0ef12136389f614d8f04fd073db352a7964756263953b73dad6dbfbc5,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,A,0,Intended-UPDATE,403779.37494952756,201883.46927238957,474.70157360846713,393,881,2469,4955,9935,69311,2499923,0,585d30f0ef12136389f614d8f04fd073db352a7964756263953b73dad6dbfbc5,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,candidate,C,100000,READ,99768.53699417351,99768.53699417351,312.9540634,298,412,495,662,1361,13599,5000000,0,daa4984e62dfec90ad084e99e44249ba2cfa667fa9ba2211fe6aeb881187acb1,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,C,100000,Intended-READ,99768.53699417351,99768.53699417351,381.6864178,357,472,577,1267,32447,55935,5000000,0,daa4984e62dfec90ad084e99e44249ba2cfa667fa9ba2211fe6aeb881187acb1,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,C,0,READ,465506.0050274649,465506.0050274649,494.4836432,450,738,1367,3835,17759,49279,5000000,0,65199dfc253b9c7e4c137c33d710b0c6739cf4b4216b40f88e38fa5666e59795,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,C,0,Intended-READ,465506.0050274649,465506.0050274649,494.5201046,450,738,1367,3835,17759,49279,5000000,0,65199dfc253b9c7e4c137c33d710b0c6739cf4b4216b40f88e38fa5666e59795,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,100000,READ,99776.5006385696,49956.67704342274,329.4777271494418,298,402,947,4591,8151,30063,2503429,0,11fada681467f43b51aebfea9c43fc84128bac7fc6ab939580ad29253b6b1ffe,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,100000,Intended-READ,99776.5006385696,49956.67704342274,409.4549240262057,357,466,1297,6879,39423,98687,2503429,0,11fada681467f43b51aebfea9c43fc84128bac7fc6ab939580ad29253b6b1ffe,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,100000,UPDATE,99776.5006385696,49819.823595146874,239.29585940075407,219,314,529,2761,4723,26383,2496571,0,11fada681467f43b51aebfea9c43fc84128bac7fc6ab939580ad29253b6b1ffe,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,100000,Intended-UPDATE,99776.5006385696,49819.823595146874,319.2520901668729,277,377,924,5271,39839,97663,2496571,0,11fada681467f43b51aebfea9c43fc84128bac7fc6ab939580ad29253b6b1ffe,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
2,candidate,A,0,READ,440761.63610719325,220317.8772919605,610.4370108102875,508,1027,3339,6055,13919,64063,2499286,0,09cb3e32c1c6953b4339212033b80952e08666acac0e75c892e8f96e53174c2b,4365296b8206f9f3668b4c1e80fe1755e7b95df0c5a1d3118c1a82bed1e25bc5
