stage,workload,round,variant,target,workers,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,log,sha256,binary_sha256
read,C,3,move,100000,256,Intended-READ,99802.39126529472,99802.39126529472,5000000,0,470.4760918,378,493,580,31103,48735,57535,hash-direct-read-r3-move-hmset-c-c256-target100000-measured.log,9ef03e1ca7cf09e97bc9f920527b24e2a392570081e48724fa7cb01170e3f8d2,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,3,move,0,256,READ,449115.2429713464,449115.2429713464,5000000,0,518.1556374,495,694,1057,3093,7047,60287,hash-direct-read-r3-move-hmset-c-c256-measured.log,d10aa503f35c8fc284b4236e34ac57fdffae3f050e0fd6674b0121e3da78b926,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,3,move,0,256,Intended-READ,449115.2429713464,449115.2429713464,5000000,0,518.1907086,495,694,1057,3093,7047,60287,hash-direct-read-r3-move-hmset-c-c256-measured.log,d10aa503f35c8fc284b4236e34ac57fdffae3f050e0fd6674b0121e3da78b926,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,3,direct,100000,256,READ,99758.58422617266,99758.58422617266,5000000,0,336.5212958,323,439,521,994,2659,35135,hash-direct-read-r3-direct-hmset-c-c256-target100000-measured.log,63faa21bdc62304e93e9e55b50315682c36da84a6b7ffa6443ae9c3f4c509378,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,3,direct,100000,256,Intended-READ,99758.58422617266,99758.58422617266,5000000,0,419.8812182,381,499,594,3315,50175,80511,hash-direct-read-r3-direct-hmset-c-c256-target100000-measured.log,63faa21bdc62304e93e9e55b50315682c36da84a6b7ffa6443ae9c3f4c509378,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,3,direct,0,256,READ,456746.1404951128,456746.1404951128,5000000,0,514.6109254,489,691,1169,3335,9303,37791,hash-direct-read-r3-direct-hmset-c-c256-measured.log,49e5fd02df508794c565adf4ccb0f06fede21ce3da01b610132e10a3a7cba810,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,3,direct,0,256,Intended-READ,456746.1404951128,456746.1404951128,5000000,0,514.6459244,489,691,1169,3335,9303,37791,hash-direct-read-r3-direct-hmset-c-c256-measured.log,49e5fd02df508794c565adf4ccb0f06fede21ce3da01b610132e10a3a7cba810,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,100000,256,READ,99806.37563127532,49858.893746132504,2497781,0,334.5843086323421,313,410,596,3717,7295,20063,hash-direct-reserve-r1-direct-hmset-a-c256-target100000-measured.log,afd31d94feb31ae856049c1b3711cad72a93d4c96d246499ed222c089a4e132f,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,100000,256,Intended-READ,99806.37563127532,49858.893746132504,2497781,0,421.7960357613418,371,472,1053,6727,50911,75263,hash-direct-reserve-r1-direct-hmset-a-c256-target100000-measured.log,afd31d94feb31ae856049c1b3711cad72a93d4c96d246499ed222c089a4e132f,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,100000,256,UPDATE,99806.37563127532,49947.48188514282,2502219,0,348.21175284817195,326,427,640,3771,7307,21535,hash-direct-reserve-r1-direct-hmset-a-c256-target100000-measured.log,afd31d94feb31ae856049c1b3711cad72a93d4c96d246499ed222c089a4e132f,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,100000,256,Intended-UPDATE,99806.37563127532,49947.48188514282,2502219,0,433.99429346512034,384,489,1081,6651,50335,73087,hash-direct-reserve-r1-direct-hmset-a-c256-target100000-measured.log,afd31d94feb31ae856049c1b3711cad72a93d4c96d246499ed222c089a4e132f,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,0,256,READ,370452.6931910795,185232.94065347855,2500089,0,634.9985972499379,554,942,2923,6719,12375,77759,hash-direct-reserve-r1-direct-hmset-a-c256-measured.log,be726ca86f2d0d66a5fbe4518791a69a72f72723508609b309ad4de747b665d2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,0,256,Intended-READ,370452.6931910795,185232.94065347855,2500089,0,635.0320256598865,554,942,2923,6719,12375,77759,hash-direct-reserve-r1-direct-hmset-a-c256-measured.log,be726ca86f2d0d66a5fbe4518791a69a72f72723508609b309ad4de747b665d2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,0,256,UPDATE,370452.6931910795,185219.75253760096,2499911,0,658.5639992783744,570,986,3089,6803,15311,80447,hash-direct-reserve-r1-direct-hmset-a-c256-measured.log,be726ca86f2d0d66a5fbe4518791a69a72f72723508609b309ad4de747b665d2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,direct,0,256,Intended-UPDATE,370452.6931910795,185219.75253760096,2499911,0,658.5983357007509,570,986,3089,6803,15311,80447,hash-direct-reserve-r1-direct-hmset-a-c256-measured.log,be726ca86f2d0d66a5fbe4518791a69a72f72723508609b309ad4de747b665d2,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,1,reserve,100000,256,READ,99830.2885095338,49937.68593391235,2501129,0,354.5639045407094,316,418,767,4919,49311,252415,hash-direct-reserve-r1-reserve-hmset-a-c256-target100000-measured.log,d1b345a13d61d79e0ec7bdf6bb99115984f57eb3d989a17c07ad33711b2941b5,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,100000,256,Intended-READ,99830.2885095338,49937.68593391235,2501129,0,608.2651142743937,375,485,3719,43679,70079,252415,hash-direct-reserve-r1-reserve-hmset-a-c256-target100000-measured.log,d1b345a13d61d79e0ec7bdf6bb99115984f57eb3d989a17c07ad33711b2941b5,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,100000,256,UPDATE,99830.2885095338,49892.602575621444,2498871,0,368.9583671986269,328,436,837,4939,49983,203519,hash-direct-reserve-r1-reserve-hmset-a-c256-target100000-measured.log,d1b345a13d61d79e0ec7bdf6bb99115984f57eb3d989a17c07ad33711b2941b5,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,100000,256,Intended-UPDATE,99830.2885095338,49892.602575621444,2498871,0,622.1440814671906,387,503,3823,43711,69567,242943,hash-direct-reserve-r1-reserve-hmset-a-c256-target100000-measured.log,d1b345a13d61d79e0ec7bdf6bb99115984f57eb3d989a17c07ad33711b2941b5,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,0,256,READ,369439.92906753364,184738.14097827693,2500246,0,632.2122303165369,557,934,2803,6547,11559,46527,hash-direct-reserve-r1-reserve-hmset-a-c256-measured.log,267e32814d4555feb71b9df6150e9556a4a8b53dbe30267c5bbbbb9094a4de8d,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,0,256,Intended-READ,369439.92906753364,184738.14097827693,2500246,0,632.2452154707977,557,934,2803,6547,11559,46527,hash-direct-reserve-r1-reserve-hmset-a-c256-measured.log,267e32814d4555feb71b9df6150e9556a4a8b53dbe30267c5bbbbb9094a4de8d,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,0,256,UPDATE,369439.92906753364,184701.78808925668,2499754,0,649.2436667768109,571,960,2837,6611,11935,45919,hash-direct-reserve-r1-reserve-hmset-a-c256-measured.log,267e32814d4555feb71b9df6150e9556a4a8b53dbe30267c5bbbbb9094a4de8d,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,1,reserve,0,256,Intended-UPDATE,369439.92906753364,184701.78808925668,2499754,0,649.2778969450594,571,960,2837,6611,11935,45919,hash-direct-reserve-r1-reserve-hmset-a-c256-measured.log,267e32814d4555feb71b9df6150e9556a4a8b53dbe30267c5bbbbb9094a4de8d,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,direct,100000,256,READ,99796.41531276196,49929.74332361981,2501580,0,337.44003269933404,315,408,619,3639,7451,30511,hash-direct-reserve-r2-direct-hmset-a-c256-target100000-measured.log,24bd8378d9789af128118d34a555148b76ae0289fafedd83338bb253f3259fa9,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,100000,256,Intended-READ,99796.41531276196,49929.74332361981,2501580,0,446.06493815908345,374,471,1089,16767,66111,97023,hash-direct-reserve-r2-direct-hmset-a-c256-target100000-measured.log,24bd8378d9789af128118d34a555148b76ae0289fafedd83338bb253f3259fa9,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,100000,256,UPDATE,99796.41531276196,49866.67198914215,2498420,0,351.958917235693,328,425,705,3759,7611,32463,hash-direct-reserve-r2-direct-hmset-a-c256-target100000-measured.log,24bd8378d9789af128118d34a555148b76ae0289fafedd83338bb253f3259fa9,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,100000,256,Intended-UPDATE,99796.41531276196,49866.67198914215,2498420,0,462.9372283283035,387,488,1129,18319,71487,96319,hash-direct-reserve-r2-direct-hmset-a-c256-target100000-measured.log,24bd8378d9789af128118d34a555148b76ae0289fafedd83338bb253f3259fa9,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,0,256,READ,368405.5408193339,184209.10698496905,2500086,0,641.4484665727499,555,966,2915,6735,15959,106367,hash-direct-reserve-r2-direct-hmset-a-c256-measured.log,27cc54427b8ae6fd0384884b99e0ee76308481a57dbf4059d230b11bfd9cf9d6,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,0,256,Intended-READ,368405.5408193339,184209.10698496905,2500086,0,641.4817922263475,555,966,2915,6735,15959,106367,hash-direct-reserve-r2-direct-hmset-a-c256-measured.log,27cc54427b8ae6fd0384884b99e0ee76308481a57dbf4059d230b11bfd9cf9d6,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,0,256,UPDATE,368405.5408193339,184196.43383436487,2499914,0,661.9731322757502,572,1012,3047,6739,11151,105279,hash-direct-reserve-r2-direct-hmset-a-c256-measured.log,27cc54427b8ae6fd0384884b99e0ee76308481a57dbf4059d230b11bfd9cf9d6,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,direct,0,256,Intended-UPDATE,368405.5408193339,184196.43383436487,2499914,0,662.0064878231811,572,1012,3047,6739,11151,105279,hash-direct-reserve-r2-direct-hmset-a-c256-measured.log,27cc54427b8ae6fd0384884b99e0ee76308481a57dbf4059d230b11bfd9cf9d6,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
reserve,A,2,reserve,100000,256,READ,99748.63344372182,49885.90751306707,2500581,0,337.8331623730645,315,408,677,3809,7207,27967,hash-direct-reserve-r2-reserve-hmset-a-c256-target100000-measured.log,cb792df98ab279c7e8e51384d95824029876aee3fbadb2d70dd2199e2a947156,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
reserve,A,2,reserve,100000,256,Intended-READ,99748.63344372182,49885.90751306707,2500581,0,434.661027177284,373,471,1150,9231,54495,80319,hash-direct-reserve-r2-reserve-hmset-a-c256-target100000-measured.log,cb792df98ab279c7e8e51384d95824029876aee3fbadb2d70dd2199e2a947156,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
