# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cpu-clock:u'
# Event count (approx.): 284105492125
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 5.90%  | 1.57%  |[.] keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::CommandRequest const&, keylane::storage::Digest const*, keylane::storage::TxShardWrites*, keylane::ReplyBuilder&)::_ZN7keylane12_GLOBAL__N_122ExecuteHashCommandImplERKNS_14CommandRequestEPKNS_7storage6DigestEPNS4_13TxShardWritesERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 5.03%  | 1.96%  |[.] _ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedEPZNS2_17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionEE514_ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionE.Frame.actor.lto_priv.0                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 4.51%  | 1.51%  |[.] keylane::(anonymous namespace)::RedisService::Serve(keylane::(anonymous namespace)::RedisService::Serve(celer::TcpStream&, keylane::ConnectionContext&)::_ZN7keylane12_GLOBAL__N_112RedisService5ServeERN5celer9TcpStreamERNS_17ConnectionContextE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 3.95%  | 0.36%  |[.] absl::lts_20250512::crc_internal::ExtendCrc32cInternal(absl::lts_20250512::crc32c_t, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 3.69%  | 0.06%  |[.] keylane::storage::Crc32c(std::span<std::byte const, 18446744073709551615ul>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 3.58%  | 3.58%  |[.] absl::lts_20250512::crc_internal::(anonymous namespace)::CRC32AcceleratedX86ARMCombinedMultipleStreams<3ul, 0ul, (absl::lts_20250512::crc_internal::(anonymous namespace)::CutoffStrategy)0>::Extend(unsigned int*, void const*, unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 3.29%  | 3.29%  |[.] _mi_theap_malloc_zero.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 3.05%  | 0.49%  |[.] keylane::storage::DecodeHashValue(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 2.56%  | 2.44%  |[.] celer::Worker::DrainCrossCore()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.52%  | 0.74%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 2.47%  | 0.44%  |[.] keylane::storage::(anonymous namespace)::ReadCompactHashResult(std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperationKind, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 2.42%  | 2.42%  |[.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.42%  | 0.00%  |[.] __memcpy_avx512_unaligned_erms (inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
