# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cpu-clock:u'
# Event count (approx.): 266737371070
#
# Children|    Self|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 7.94%  | 3.32%  |[.] keylane::RespCommandParser::Parse(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 7.62%  | 7.52%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Find(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 7.20%  | 2.46%  |[.] _ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedEPZNS2_17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionEE514_ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionE.Frame.actor.lto_priv.0                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 5.87%  | 1.34%  |[.] keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::CommandRequest const&, keylane::storage::Digest const*, keylane::storage::TxShardWrites*, keylane::ReplyBuilder&)::_ZN7keylane12_GLOBAL__N_122ExecuteHashCommandImplERKNS_14CommandRequestEPKNS_7storage6DigestEPNS4_13TxShardWritesERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 4.60%  | 1.74%  |[.] keylane::(anonymous namespace)::RedisService::Serve(keylane::(anonymous namespace)::RedisService::Serve(celer::TcpStream&, keylane::ConnectionContext&)::_ZN7keylane12_GLOBAL__N_112RedisService5ServeERN5celer9TcpStreamERNS_17ConnectionContextE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 4.33%  | 0.50%  |[.] keylane::storage::StorageEngine::Impl::RelocateIfCurrent(keylane::storage::StorageEngine::Impl::RelocateIfCurrent(unsigned int, std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordHeader const&, keylane::storage::RecordLocation const&, bool)::_ZN7keylane7storage13StorageEngine4Impl17RelocateIfCurrentEjSt17basic_string_viewIcSt11char_traitsIcEES6_RKNS0_12RecordHeaderERKNS0_14RecordLocationEb.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 3.93%  | 0.48%  |[.] absl::lts_20250512::crc_internal::ExtendCrc32cInternal(absl::lts_20250512::crc32c_t, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 3.87%  | 0.61%  |[.] keylane::storage::StorageEngine::Impl::LoadValueLocal(keylane::storage::StorageEngine::Impl::LoadValueLocal(keylane::storage::StorageEngine::Impl::WorkerStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordLocation, unsigned long, keylane::ReadLatencyTrace*, std::optional<unsigned long>)::_ZN7keylane7storage13StorageEngine4Impl14LoadValueLocalERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEENS0_14RecordLocationEmPNS_16ReadLatencyTraceESt8optionalImE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 3.62%  | 0.05%  |[.] keylane::storage::Crc32c(std::span<std::byte const, 18446744073709551615ul>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |-      -            
 3.45%  | 3.45%  |[.] absl::lts_20250512::crc_internal::(anonymous namespace)::CRC32AcceleratedX86ARMCombinedMultipleStreams<3ul, 0ul, (absl::lts_20250512::crc_internal::(anonymous namespace)::CutoffStrategy)0>::Extend(unsigned int*, void const*, unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 3.43%  | 1.53%  |[.] keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::FlushPendingBlocks(keylane::storage::StorageEngine::Impl::WorkerStore*)::_ZN7keylane7storage13StorageEngine4Impl18FlushPendingBlocksEPNS2_11WorkerStoreE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 3.29%  | 3.29%  |[.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 3.29%  | 0.00%  |[.] __memcpy_avx512_unaligned_erms (inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 3.05%  | 2.98%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindCandidates(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 3.00%  | 0.47%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 2.90%  | 0.31%  |[.] keylane::storage::StorageEngine::Impl::SalvageBlockRecords(keylane::storage::StorageEngine::Impl::SalvageBlockRecords(keylane::storage::StorageEngine::Impl::WorkerStore&, unsigned long, keylane::storage::BlockState&, unsigned int, unsigned long, std::shared_ptr<absl::lts_20250512::flat_hash_set<unsigned long, absl::lts_20250512::hash_internal::Hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<unsigned long> > const>)::_ZN7keylane7storage13StorageEngine4Impl19SalvageBlockRecordsERNS2_11WorkerStoreEmRNS0_10BlockStateEjmSt10shared_ptrIKN4absl12lts_2025051213flat_hash_setImNS9_13hash_internal4HashImEESt8equal_toImESaImEEEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |-      -            
 2.83%  | 2.83%  |[.] _mi_theap_malloc_zero.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 2.48%  | 0.49%  |[.] keylane::storage::(anonymous namespace)::ReadCompactHashResult(std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperationKind, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.28%  | 0.55%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHash(keylane::storage::StorageEngine::Impl::ExecuteHash(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::HashOperation const&, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::_ZN7keylane7storage13StorageEngine4Impl11ExecuteHashEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_13HashOperationEPNS0_24ReplicationCommandAppendEPKNS0_20MutationPreconditionE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 2.26%  | 0.72%  |[.] keylane::DispatchCommandImpl(keylane::DispatchCommandImpl(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane19DispatchCommandImplERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 2.14%  | 2.06%  |[.] celer::Worker::DrainCrossCore()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 2.05%  | 0.80%  |[.] keylane::ExecuteCommandBody(keylane::ExecuteCommandBody(keylane::CommandRequest const&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*, keylane::(anonymous namespace)::ReplicationTransactionOrderGuard*, std::optional<bool>)::_ZN7keylane18ExecuteCommandBodyERKNS_14CommandRequestERNS_12ReplyBuilderEmPNS_17ConnectionContextEPNS_12_GLOBAL__N_132ReplicationTransactionOrderGuardESt8optionalIbE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.89%  | 0.78%  |[.] keylane::ReplyBuilder::AppendBulkString(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 1.81%  | 0.38%  |[.] keylane::storage::EncodeHashValue[abi:cxx11](keylane::storage::HashValue const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 1.74%  | 1.66%  |[.] keylane::storage::RedisSlot(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 1.72%  | 1.72%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::FindAddress(unsigned long, unsigned int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 1.70%  | 0.35%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 1.68%  | 0.68%  |[.] celer::IoUringBackend::ReapCompletions()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |-      -            
 1.50%  | 1.09%  |[.] keylane::DispatchCommand(keylane::DispatchCommand(keylane::ConnectionContext&, keylane::CommandRequest&, keylane::ReplyBuilder&)::_ZN7keylane15DispatchCommandERNS_17ConnectionContextERNS_14CommandRequestERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 1.38%  | 1.38%  |[.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 1.36%  | 1.36%  |[.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |-      -            
 1.35%  | 0.79%  |[.] keylane::(anonymous namespace)::ExecuteStorageCommand(keylane::(anonymous namespace)::ExecuteStorageCommand(keylane::CommandRequest const&, keylane::ReplyBuilder&, keylane::ReadLatencyTrace*, keylane::SetLatencyTrace*)::_ZN7keylane12_GLOBAL__N_121ExecuteStorageCommandERKNS_14CommandRequestERNS_12ReplyBuilderEPNS_16ReadLatencyTraceEPNS_15SetLatencyTraceE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |-      -            
 1.34%  | 0.47%  |[.] keylane::(anonymous namespace)::PushArgument(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 1.26%  | 0.93%  |[.] keylane::storage::DecodeRecordHeader(std::span<std::byte const, 18446744073709551615ul>, keylane::storage::RecordHeader*, std::basic_string_view<char, std::char_traits<char> >*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.25%  | 0.61%  |[.] celer::Worker::Flush()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 1.25%  | 0.36%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.24%  | 0.33%  |[.] void std::__sort<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<keylane::storage::StorageEngine::Impl::ExecuteHashLikeLocked(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::HashOperation const&, keylane::storage::ValueType, keylane::storage::TxShardWrites*, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::{lambda(auto:1, auto:2)#1}> >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__ops::_Iter_comp_iter<keylane::storage::StorageEngine::Impl::ExecuteHashLikeLocked(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::HashOperation const&, keylane::storage::ValueType, keylane::storage::TxShardWrites*, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::{lambda(auto:1, auto:2)#1}>)                                                                                                                                                                                                                                                     |-      -            
 1.16%  | 0.34%  |[.] celer::TcpStream::ReadSome(celer::TcpStream::ReadSome(std::span<std::byte, 18446744073709551615ul>)::_ZN5celer9TcpStream8ReadSomeESt4spanISt4byteLm18446744073709551615EE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |-      -            
 1.15%  | 0.75%  |[.] keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::AppendLocked(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::RecordKind, keylane::storage::ValueType, unsigned long, keylane::storage::TxShardWrites*, unsigned long, std::unique_ptr<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> >, std::default_delete<std::vector<keylane::storage::RetiredRecord, std::allocator<keylane::storage::RetiredRecord> > > >, unsigned long*, keylane::storage::ReplicationCommandAppend*, keylane::SetLatencyTrace*, bool, keylane::storage::TxUndoLog*, keylane::storage::MutationPrecondition const*, keylane::storage::StorageEngine::Impl::GroupMutationWrite*)::_ZN7keylane7storage13StorageEngine4Impl12AppendLockedERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestESA_NS0_10RecordKindENS0_9ValueTypeEmPNS0_13TxShardWritesEmSt10unique_ptrISt6vectorINS0_13RetiredRecordESaISK_EESt14default_deleteISM_EEPmPNS0_24ReplicationCommandAppendEPNS_15SetLatencyTraceEbPNS0_9TxUndoLogEPKNS0_20MutationPreconditionEPNS2_18GroupMutationWriteE.Frame*) [clone .actor] [clone .lto_priv.0]|-      -            
 0.99%  | 0.99%  |[.] keylane::(anonymous namespace)::AppendUnsigned(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, unsigned long) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 0.99%  | 0.67%  |[.] keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::LoadValue(keylane::storage::StorageEngine::Impl::WorkerStore&, keylane::storage::StorageEngine::Impl::WorkerStore::PartitionStore&, unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::RecordLocation, std::shared_ptr<std::vector<keylane::storage::ExtentRef, std::allocator<keylane::storage::ExtentRef> > const>, keylane::ReadLatencyTrace*, std::shared_ptr<keylane::storage::GroupedHashObject const>)::_ZN7keylane7storage13StorageEngine4Impl9LoadValueERNS2_11WorkerStoreERNS3_14PartitionStoreEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestENS0_14RecordLocationESt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISH_EEEPNS_16ReadLatencyTraceESF_IKNS0_17GroupedHashObjectEE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 0.92%  | 0.92%  |[.] keylane::storage::StorageEngine::Impl::MaterializeIndexLocation(keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Entry const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 0.89%  | 0.21%  |[.] keylane::storage::ComputeDigest(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 0.87%  | 0.87%  |[.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 0.86%  | 0.86%  |[.] keylane::storage::(anonymous namespace)::AppendU32(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned int) [clone .lto_priv.0] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 0.86%  | 0.14%  |[.] keylane::ExecuteCommand(keylane::CommandRequest&, keylane::ReplyBuilder&, unsigned long, keylane::ConnectionContext*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |-      -            
 0.86%  | 0.86%  |[.] keylane::(anonymous namespace)::BuildParsedCommandRequest(keylane::RespCommand, unsigned char) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |-      -            
 0.85%  | 0.03%  |[.] celer::Task<keylane::CommandReply>::~Task() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
